시점,소계_합계,소계_고졸이하,소계_초대졸,소계_대졸,소계_대학원졸 이상,PC게임_합계,PC게임_고졸이하,PC게임_초대졸,PC게임_대졸,PC게임_대학원졸 이상,모바일게임_합계,모바일게임_고졸이하,모바일게임_초대졸,모바일게임_대졸,모바일게임_대학원졸 이상,콘솔게임_합계,콘솔게임_고졸이하,콘솔게임_초대졸,콘솔게임_대졸,콘솔게임_대학원졸 이상,아케이드게임_합계,아케이드게임_고졸이하,아케이드게임_초대졸,아케이드게임_대졸,아케이드게임_대학원졸 이상,온라인게임_합계,온라인게임_고졸이하,온라인게임_초대졸,온라인게임_대졸,온라인게임_대학원졸 이상,비디오게임_합계,비디오게임_고졸이하,비디오게임_초대졸,비디오게임_대졸,비디오게임_대학원졸 이상,비중_합계,비중_고졸이하,비중_초대졸,비중_대졸,비중_대학원졸 이상
2011,51859,2827,8931,38673,1428,122,3,12,107,0,4585,413,895,3214,63,-,-,-,-,-,713,38,49,618,8,44221,2291,7688,32921,1321,2218,82,287,1813,36,100,5.4,17.2,74.6,2.8
2012,52466,2817,8882,39346,1421,106,2,11,93,0,5823,436,911,4401,75,-,-,-,-,-,719,38,50,623,8,44036,2273,7659,32787,1317,1782,68,251,1442,21,-,-,-,-,-
2013,40541,6145,3082,30612,701,307,16,10,216,64,10215,869,639,8340,366,-,-,-,-,-,430,68,134,210,18,29267,5139,2265,21616,248,322,53,34,230,4,-,-,-,-,-
2014,39221,3942,7613,25411,2255,333,15,99,199,20,9984,963,2095,6488,438,-,-,-,-,-,395,52,123,196,24,28202,2896,5252,18294,1760,307,16,44,234,13,-,-,-,-,-
2015,35445,2418,7225,23822,1980,385,24,109,227,25,13106,855,2855,8720,676,-,-,-,-,-,441,54,81,282,24,21198,1452,4117,14385,1244,315,33,63,208,11,-,-,-,-,-
2016,33979,2265,8124,20043,3547,212,52,10,115,35,16146,833,3596,9737,1980,-,-,-,-,-,716,60,188,428,40,16523,1308,4249,9496,1470,382,12,81,267,22,-,-,-,-,-
2017,34665,2475,9081,21943,1166,13287,1016,3345,8447,479,19686,1213,5255,12557,661,477,17,104,355,1,1215,229,377,584,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,37035,1566,8740,25235,1494,13344,659,3157,8958,570,21742,836,4982,15031,893,529,30,135,353,11,1420,41,466,893,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,39390,1856,6828,28674,2032,13430,847,2510,9296,777,23057,912,3791,17171,1183,1348,28,146,1125,49,1555,69,381,1082,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,44310,1790,8229,32539,1752,14600,1002,3216,9821,561,27028,741,4484,20727,1076,1110,1,124,921,64,1572,46,405,1070,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,45262,1809,7421,33906,2126,13124,680,2425,9410,609,29015,1012,4369,22199,1435,1204,14,183,961,46,1919,103,444,1336,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
