시점,합계,중화권,일본,동남아,북미,유럽,기타,중국
2011,204986,-,163582,0,10522,134,123,30625
2012,179135,-,119397,0,23126,148,166,36298
2013,172229,-,40642,0,35562,20965,25401,49659
2014,165559,-,46774,1387,23136,17631,17470,59161
2015,177492,-,61027,2433,27283,17196,17701,51852
2016,147362,-,51606,4657,18509,8193,3478,60919
2017,262911,67586,110349,7856,52534,22442,2144,-
2018,305781,72850,187226,1626,42207,1733,139,-
2019,298129,132546,47154,192,49737,22364,46134,-
2020,270794,77392,36655,442,139342,10447,6516,-
2021,312331,133072,46365,258,117086,6454,9096,-
